Timestamp,datetime,close,volume
1522800000,"2018-04-04 00:00:00",7412.47226661,1043.97004581
1522796400,"2018-04-03 23:00:00",7380.18999693,1308.01826537
1522792800,"2018-04-03 22:00:00",7404.48663963,1116.92426933
1522789200,"2018-04-03 21:00:00",7436.4836436,1501.43500229
1522785600,"2018-04-03 20:00:00",7479.58517866,2094.04684766
1522782000,"2018-04-03 19:00:00",7458.95098483,1873.68902682
1522778400,"2018-04-03 18:00:00",7399.76342132,1241.63190594
1522774800,"2018-04-03 17:00:00",7411.83232845,1874.17757432
1522771200,"2018-04-03 16:00:00",7381.13533422,1909.37004938
1522767600,"2018-04-03 15:00:00",7310.45322418,3209.59327165
1522764000,"2018-04-03 14:00:00",7376.08903193,2440.43777223
1522760400,"2018-04-03 13:00:00",7353.62907814,1086.08787241
1522756800,"2018-04-03 12:00:00",7323.87531419,769.18999636
1522753200,"2018-04-03 11:00:00",7321.14466703,2408.05124733
1522749600,"2018-04-03 10:00:00",7359.94171225,1434.72111169
1522746000,"2018-04-03 09:00:00",7373.82909861,2051.31567463
1522742400,"2018-04-03 08:00:00",7377.79206614,2835.28048952
1522738800,"2018-04-03 07:00:00",7337.73161959,1959.30064425
1522735200,"2018-04-03 06:00:00",7334.14760406,3217.13134517
1522731600,"2018-04-03 05:00:00",7289.38085909,7066.16731109
1522728000,"2018-04-03 04:00:00",7163.63419315,1760.31823759
1522724400,"2018-04-03 03:00:00",7122.5533791,2541.92045084
1522720800,"2018-04-03 02:00:00",7034.64084607,581.39829631
1522717200,"2018-04-03 01:00:00",7063.737908,1975.88137616
1522713600,"2018-04-03 00:00:00",7041.27471047,2044.73423045
1522710000,"2018-04-02 23:00:00",7026.08316693,1285.06150367
1522706400,"2018-04-02 22:00:00",6978.70182617,1574.55844323
1522702800,"2018-04-02 21:00:00",6924.51985112,2041.4785397
1522699200,"2018-04-02 20:00:00",6980.26273433,892.14596532
1522695600,"2018-04-02 19:00:00",6974.00675784,972.06290066
1522692000,"2018-04-02 18:00:00",6982.65793072,1083.30095363
1522688400,"2018-04-02 17:00:00",7015.44347444,1615.14069143
1522684800,"2018-04-02 16:00:00",6993.8628623,2052.37434905
1522681200,"2018-04-02 15:00:00",6931.93891287,1906.7842383
1522677600,"2018-04-02 14:00:00",7010.7676994,1094.62702021
1522674000,"2018-04-02 13:00:00",7008.47403347,1574.84727332
1522670400,"2018-04-02 12:00:00",7080.0387859,2423.69288939
1522666800,"2018-04-02 11:00:00",7040.83712592,1495.927187
1522663200,"2018-04-02 10:00:00",7062.30032634,1412.37860667
